"Variable","Mean","Median","SD","Min","Max","Q1","Q3","Skewness","Kurtosis"
"AQI",70.8030303030303,70,14.3327092914307,36,120,60,80.25,0.399875298471586,3.2345411443601
"PM2.5",32.8068181818182,31,13.6764141609768,11,90.4,22.75,40.225,0.984421401766136,4.47281318943815
"PM10",54.4075757575758,53,19.067992529796,24,121,39.75,65.075,0.797002297743093,3.67495117489482
"SO2",9.61666666666666,8.3,3.58817325074385,5,22.1,7,12,1.03696857524876,3.59824615578793
"CO",0.818636363636364,0.795,0.162705056656163,0.55,1.37,0.7,0.9125,0.791741044982554,3.43480702340536
"NO2",39.0833333333333,39,13.4667822407053,12,75,30,47.25,0.347921334422163,2.89141644880198
"O3",96.1295454545455,97.65,27.044881381735,35,161,77.975,114,0.0628997780508368,2.64838539020091
"平均气温",22.2971212121212,22.505,5.27793961799012,11.8,30.3,17.975,27.6,-0.354269118785608,1.84229832126366
"平均湿度",79.2616666666667,80,5.62288768368246,61.5,90,76.8,83.5375,-0.816043709245609,3.41493316671531
